Cosecha,AñoSemana,Reincidencias
TecSem14,2022-14,358
TecSem14,2022-15,107
TecSem14,2022-16,115
TecSem14,2022-17,83
TecSem14,2022-18,91
TecSem14,2022-19,78
TecSem14,2022-20,86
TecSem14,2022-21,78
TecSem14,2022-22,49
TecSem14,2022-23,76
TecSem14,2022-24,60
TecSem14,2022-25,51
TecSem14,2022-26,50
TecSem14,2022-27,43
TecSem14,2022-28,40
TecSem14,2022-29,45
TecSem15,2022-14,74
TecSem15,2022-15,332
TecSem15,2022-16,98
TecSem15,2022-17,59
TecSem15,2022-18,79
TecSem15,2022-19,81
TecSem15,2022-20,58
TecSem15,2022-21,52
TecSem15,2022-22,62
TecSem15,2022-23,65
TecSem15,2022-24,59
TecSem15,2022-25,54
TecSem15,2022-26,37
TecSem15,2022-27,35
TecSem15,2022-28,45
TecSem15,2022-29,49
TecSem15,2022-30,39
TecSem16,2022-14,72
TecSem16,2022-15,71
TecSem16,2022-16,284
TecSem16,2022-17,77
TecSem16,2022-18,89
TecSem16,2022-19,83
TecSem16,2022-20,68
TecSem16,2022-21,55
TecSem16,2022-22,68
TecSem16,2022-23,53
TecSem16,2022-24,51
TecSem16,2022-25,51
TecSem16,2022-26,34
TecSem16,2022-27,38
TecSem16,2022-28,42
TecSem16,2022-29,45
TecSem16,2022-30,27
TecSem16,2022-31,25
TecSem17,2022-14,66
TecSem17,2022-15,53
TecSem17,2022-16,64
TecSem17,2022-17,254
TecSem17,2022-18,85
TecSem17,2022-19,63
TecSem17,2022-20,66
TecSem17,2022-21,49
TecSem17,2022-22,44
TecSem17,2022-23,54
TecSem17,2022-24,50
TecSem17,2022-25,39
TecSem17,2022-26,41
TecSem17,2022-27,34
TecSem17,2022-28,31
TecSem17,2022-29,22
TecSem17,2022-30,26
TecSem17,2022-31,21
TecSem17,2022-32,4
TecSem18,2022-14,74
TecSem18,2022-15,84
TecSem18,2022-16,70
TecSem18,2022-17,64
TecSem18,2022-18,328
TecSem18,2022-19,93
TecSem18,2022-20,85
TecSem18,2022-21,74
TecSem18,2022-22,56
TecSem18,2022-23,57
TecSem18,2022-24,61
TecSem18,2022-25,40
TecSem18,2022-26,34
TecSem18,2022-27,43
TecSem18,2022-28,44
TecSem18,2022-29,39
TecSem18,2022-30,32
TecSem18,2022-31,41
TecSem18,2022-32,15
TecSem18,2022-33,26
TecSem19,2022-14,60
TecSem19,2022-15,77
TecSem19,2022-16,92
TecSem19,2022-17,58
TecSem19,2022-18,78
TecSem19,2022-19,338
TecSem19,2022-20,97
TecSem19,2022-21,71
TecSem19,2022-22,72
TecSem19,2022-23,75
TecSem19,2022-24,51
TecSem19,2022-25,55
TecSem19,2022-26,48
TecSem19,2022-27,53
TecSem19,2022-28,61
TecSem19,2022-29,49
TecSem19,2022-30,54
TecSem19,2022-31,36
TecSem19,2022-32,18
TecSem19,2022-33,14
TecSem19,2022-34,20
TecSem20,2022-14,69
TecSem20,2022-15,74
TecSem20,2022-16,78
TecSem20,2022-17,86
TecSem20,2022-18,64
TecSem20,2022-19,69
TecSem20,2022-20,357
TecSem20,2022-21,89
TecSem20,2022-22,90
TecSem20,2022-23,96
TecSem20,2022-24,65
TecSem20,2022-25,76
TecSem20,2022-26,55
TecSem20,2022-27,59
TecSem20,2022-28,67
TecSem20,2022-29,67
TecSem20,2022-30,81
TecSem20,2022-31,41
TecSem20,2022-32,25
TecSem20,2022-33,20
TecSem20,2022-34,21
TecSem20,2022-35,13
TecSem21,2022-14,62
TecSem21,2022-15,64
TecSem21,2022-16,57
TecSem21,2022-17,56
TecSem21,2022-18,81
TecSem21,2022-19,71
TecSem21,2022-20,76
TecSem21,2022-21,322
TecSem21,2022-22,95
TecSem21,2022-23,73
TecSem21,2022-24,70
TecSem21,2022-25,46
TecSem21,2022-26,50
TecSem21,2022-27,55
TecSem21,2022-28,53
TecSem21,2022-29,55
TecSem21,2022-30,49
TecSem21,2022-31,30
TecSem21,2022-32,21
TecSem21,2022-33,11
TecSem21,2022-34,14
TecSem21,2022-35,15
TecSem21,2022-36,16
TecSem22,2022-14,49
TecSem22,2022-15,64
TecSem22,2022-16,73
TecSem22,2022-17,50
TecSem22,2022-18,45
TecSem22,2022-19,68
TecSem22,2022-20,57
TecSem22,2022-21,41
TecSem22,2022-22,257
TecSem22,2022-23,58
TecSem22,2022-24,60
TecSem22,2022-25,46
TecSem22,2022-26,41
