FechaF,Asignaciones_totales,Asignaciones_automaticas,Asignaciones_manuales,PorcAA
2023-08-01,23347,10849,12498,0.46468
2023-08-02,24553,11276,13277,0.45925
2023-08-03,24837,11858,12979,0.47743
2023-08-04,25093,15515,9578,0.6183
2023-08-05,24560,13589,10971,0.5533
2023-08-06,20562,10850,9712,0.52767
2023-08-07,25168,13917,11251,0.55296
2023-08-08,30217,24975,5242,0.82652
2023-08-09,30467,24252,6215,0.79601
2023-08-10,30576,24604,5972,0.80468
2023-08-11,30448,23726,6722,0.77923
2023-08-12,29182,22408,6774,0.76787
2023-08-13,24397,18296,6101,0.74993
2023-08-14,29485,22513,6972,0.76354
2023-08-15,30083,23163,6920,0.76997
2023-08-16,30746,23861,6885,0.77607
2023-08-17,31442,23733,7709,0.75482
2023-08-18,26256,18042,8214,0.68716
2023-08-19,25559,16461,9098,0.64404
2023-08-20,20762,13801,6961,0.66472
2023-08-21,26718,16810,9908,0.62916
2023-08-22,37133,28669,8464,0.77206
2023-08-23,36037,27890,8147,0.77393
2023-08-24,35536,28146,7390,0.79204
2023-08-25,34635,27168,7467,0.78441
2023-08-26,32581,24650,7931,0.75658
2023-08-27,28557,21951,6606,0.76867
2023-08-28,33145,25868,7277,0.78045
2023-08-29,34999,27127,7872,0.77508
2023-08-30,33319,26528,6791,0.79618
2023-08-31,33024,27035,5989,0.81865
2023-09-01,29215,25404,3811,0.86955
2023-09-02,29623,26736,2887,0.90254
2023-09-03,25450,22776,2674,0.89493
2023-09-04,31065,27330,3735,0.87977
2023-09-05,30653,26519,4134,0.86514
2023-09-06,32246,28234,4012,0.87558
2023-09-07,32324,28441,3883,0.87987
2023-09-08,32682,28390,4292,0.86867
2023-09-09,30819,26798,4021,0.86953
2023-09-10,26757,23192,3565,0.86676
2023-09-11,31259,27146,4113,0.86842
2023-09-12,32133,27592,4541,0.85868
2023-09-13,31980,27752,4228,0.86779
2023-09-14,31388,27115,4273,0.86387
2023-09-15,29728,25533,4195,0.85889
2023-09-16,20256,17672,2584,0.87243
2023-09-17,24286,20783,3503,0.85576
2023-09-18,30572,26079,4493,0.85304
2023-09-19,32068,27077,4991,0.84436
2023-09-20,31936,26888,5048,0.84193
2023-09-21,31003,26109,4894,0.84214
2023-09-22,31564,26992,4572,0.85515
2023-09-23,30234,25642,4592,0.84812
2023-09-24,25823,21856,3967,0.84638
2023-09-25,31527,26253,5274,0.83271
2023-09-26,31490,26155,5335,0.83058
2023-09-27,31585,25985,5600,0.8227
2023-09-28,30504,24951,5553,0.81796
2023-09-29,30484,25588,4896,0.83939
2023-09-30,28537,23272,5265,0.8155
2023-10-01,22973,19875,3098,0.86515
2023-10-02,29449,25099,4350,0.85229
2023-10-03,29660,24249,5411,0.81757
2023-10-04,31019,26779,4240,0.86331
2023-10-05,30471,26842,3629,0.8809
2023-10-06,28704,25723,2981,0.89615
2023-10-07,27494,24850,2644,0.90383
2023-10-08,23455,20966,2489,0.89388
2023-10-09,28264,25260,3004,0.89372
2023-10-10,25092,24064,1028,0.95903
2023-10-11,27504,26383,1121,0.95924
2023-10-12,28868,27816,1052,0.96356
2023-10-13,26311,25168,1143,0.95656
2023-10-14,25402,24644,758,0.97016
2023-10-15,20682,20101,581,0.97191
2023-10-16,26274,25488,786,0.97008
2023-10-17,27330,26719,611,0.97764
2023-10-18,27766,27232,534,0.98077
2023-10-19,27005,26516,489,0.98189
2023-10-20,26020,25541,479,0.98159
2023-10-21,25327,24952,375,0.98519
2023-10-22,21348,21065,283,0.98674
2023-10-23,27032,26570,462,0.98291
2023-10-24,27453,26953,500,0.98179
2023-10-25,27658,27152,506,0.98171
2023-10-26,27704,27193,511,0.98156
2023-10-27,27864,27343,521,0.9813
2023-10-28,25879,25489,390,0.98493
2023-10-29,21298,20964,334,0.98432
2023-10-30,26691,26249,442,0.98344
2023-10-31,27473,27024,449,0.98366
2023-11-01,24290,23894,396,0.9837
2023-11-02,24281,23898,383,0.98423
2023-11-03,25629,25123,506,0.98026
2023-11-04,25200,24805,395,0.98433
2023-11-05,21538,21256,282,0.98691
2023-11-06,25900,25390,510,0.98031
2023-11-07,27201,26745,456,0.98324
2023-11-08,28015,27554,461,0.98354
2023-11-09,27319,26842,477,0.98254
2023-11-10,27209,26778,431,0.98416
2023-11-11,25841,25457,384,0.98514
2023-11-12,21814,21478,336,0.9846
2023-11-13,26530,26043,487,0.98164
2023-11-14,26707,26243,464,0.98263
2023-11-15,26391,25965,426,0.98386
2023-11-16,26761,26274,487,0.9818
2023-11-17,27971,27535,436,0.98441
2023-11-18,26818,26472,346,0.9871
2023-11-19,22836,22554,282,0.98765
2023-11-20,21468,21185,283,0.98682
2023-11-21,27427,26985,442,0.98388
2023-11-22,28342,27871,471,0.98338
2023-11-23,28251,27820,431,0.98474
2023-11-24,28178,27637,541,0.9808
2023-11-25,26953,26622,331,0.98772
2023-11-26,22696,22342,354,0.9844
2023-11-27,27348,26829,519,0.98102
2023-11-28,27893,27267,626,0.97756
2023-11-29,28040,27297,743,0.9735
2023-11-30,28608,28071,537,0.98123
2023-12-01,26132,25715,417,0.98404
2023-12-02,25535,25165,370,0.98551
2023-12-03,21687,21437,250,0.98847
2023-12-04,26942,26526,416,0.98456
2023-12-05,28589,28099,490,0.98286
2023-12-06,28249,27751,498,0.98237
2023-12-07,28093,27669,424,0.98491
2023-12-08,28532,28120,412,0.98556
2023-12-09,26302,25893,409,0.98445
2023-12-10,22647,22386,261,0.98848
2023-12-11,26762,26362,400,0.98505
2023-12-12,26569,26174,395,0.98513
2023-12-13,26194,25709,485,0.98148
2023-12-14,26051,25552,499,0.98085
2023-12-15,25714,25213,501,0.98052
2023-12-16,24496,24163,333,0.98641
2023-12-17,21013,20682,331,0.98425
2023-12-18,25786,25390,396,0.98464
2023-12-19,27246,26781,465,0.98293
2023-12-20,25057,24518,539,0.97849
2023-12-21,25262,24808,454,0.98203
2023-12-22,24710,24266,444,0.98203
2023-12-23,22891,22444,447,0.98047
2023-12-24,15636,15241,395,0.97474
2023-12-25,8311,8131,180,0.97834
2023-12-26,23566,23079,487,0.97933
2023-12-27,24642,24133,509,0.97934
2023-12-28,24830,24237,593,0.97612
2023-12-29,24598,24025,573,0.97671
2023-12-30,22802,22247,555,0.97566
2023-12-31,14523,14041,482,0.96681
2024-01-01,5525,5398,127,0.97701
2024-01-02,21988,21416,572,0.97399
2024-01-03,25726,25093,633,0.97539
2024-01-04,26590,26041,549,0.97935
2024-01-05,26123,25558,565,0.97837
2024-01-06,23584,23114,470,0.98007
2024-01-07,20650,20114,536,0.97404
2024-01-08,25234,24711,523,0.97927
2024-01-09,26039,25345,694,0.97335
2024-01-10,25991,24773,1218,0.95314
2024-01-11,26225,25425,800,0.96949
2024-01-12,26075,25361,714,0.97262
2024-01-13,25089,24524,565,0.97748
2024-01-14,21115,20656,459,0.97826
2024-01-15,24902,24318,584,0.97655
2024-01-16,24264,23577,687,0.97169
2024-01-17,30327,29580,747,0.97537
2024-01-18,30063,29325,738,0.97545
2024-01-19,28905,27817,1088,0.96236
2024-01-20,28144,27428,716,0.97456
2024-01-21,22264,21609,655,0.97058
2024-01-22,28846,28046,800,0.97227
2024-01-23,34943,33984,959,0.97256
2024-01-24,25480,24434,1046,0.95895
2024-01-25,25907,24975,932,0.96403
2024-01-26,25822,25014,808,0.96871
2024-01-27,24486,23739,747,0.96949
2024-01-28,20578,20083,495,0.97595
2024-01-29,25091,24374,717,0.97142
2024-01-30,23174,22475,699,0.96984
2024-01-31,26182,25426,756,0.97113
2024-02-01,24613,23940,673,0.97266
2024-02-02,24362,23614,748,0.9693
2024-02-03,23461,22859,602,0.97434
2024-02-04,19428,18738,690,0.96448
2024-02-05,19945,19380,565,0.97167
2024-02-06,25062,24239,823,0.96716
2024-02-07,25412,24555,857,0.96628
2024-02-08,25644,24930,714,0.97216
2024-02-09,25862,25071,791,0.96941
2024-02-10,24244,23582,662,0.97269
2024-02-11,20271,19764,507,0.97499
2024-02-12,24808,24013,795,0.96795
2024-02-13,25713,24784,929,0.96387
2024-02-14,25510,24625,885,0.96531
2024-02-15,25206,24313,893,0.96457
2024-02-16,24930,24001,929,0.96274
2024-02-17,24247,23514,733,0.96977
2024-02-18,21141,20530,611,0.9711
2024-02-19,25304,24342,962,0.96198
2024-02-20,25778,24797,981,0.96194
2024-02-21,26736,25790,946,0.96462
2024-02-22,26760,25747,1013,0.96214
2024-02-23,22082,21342,740,0.96649
2024-02-24,25650,24864,786,0.96936
2024-02-25,20971,20298,673,0.96791
2024-02-26,26064,25173,891,0.96581
2024-02-27,26823,26073,750,0.97204
2024-02-28,27548,26711,837,0.96962
2024-02-29,27649,26993,656,0.97627
2024-03-01,25080,24505,575,0.97707
2024-03-02,24560,23987,573,0.97667
2024-03-03,20495,19955,540,0.97365
2024-03-04,25658,24862,796,0.96898
2024-03-05,26609,25969,640,0.97595
2024-03-06,26867,26366,501,0.98135
2024-03-07,25935,25463,472,0.9818
2024-03-08,26581,26075,506,0.98096
2024-03-09,25252,24813,439,0.98262
2024-03-10,21674,21426,248,0.98856
2024-03-11,26115,25636,479,0.98166
2024-03-12,26569,26123,446,0.98321
2024-03-13,27186,26768,418,0.98462
2024-03-14,27484,27117,367,0.98665
2024-03-15,26287,25901,386,0.98532
2024-03-16,24758,24514,244,0.99014
2024-03-17,21017,20835,182,0.99134
2024-03-18,21185,20946,239,0.98872
2024-03-19,26622,26206,416,0.98437
2024-03-20,24316,23912,404,0.98339
2024-03-21,24089,23632,457,0.98103
2024-03-22,23585,23112,473,0.97994
2024-03-23,23603,23209,394,0.98331
2024-03-24,19062,18752,310,0.98374
2024-03-25,24491,24003,488,0.98007
2024-03-26,23924,23398,526,0.97801
2024-03-27,23908,23400,508,0.97875
2024-03-28,23802,23356,446,0.98126
2024-03-29,26937,26548,389,0.98556
2024-03-30,32167,31860,307,0.99046
2024-03-31,17508,17211,297,0.98304
2024-04-01,22260,21793,467,0.97902
2024-04-02,25014,24432,582,0.97673
2024-04-03,25086,24373,713,0.97158
2024-04-04,24591,23805,786,0.96804
2024-04-05,25451,24736,715,0.97191
2024-04-06,24905,24248,657,0.97362
2024-04-07,20738,20274,464,0.97763
2024-04-08,24872,24113,759,0.96948
