Tipo,DIRECCION,YearMonth,Repeat Report,Ingreso de Soporte,Porcentaje
NACIONAL,NACIONAL,2022-01,15763,127301,0.123824636
NACIONAL,NACIONAL,2022-02,14594,126404,0.115455207
NACIONAL,NACIONAL,2022-03,15482,142152,0.108911588
NACIONAL,NACIONAL,2022-04,16732,142306,0.117577614
NACIONAL,NACIONAL,2022-05,17083,151827,0.112516219
NACIONAL,NACIONAL,2022-06,19966,164198,0.121597096
NACIONAL,NACIONAL,2022-07,20608,168518,0.122289607
NACIONAL,NACIONAL,2022-08,21521,172680,0.124629372
NACIONAL,NACIONAL,2022-09,19499,154440,0.126256151
NACIONAL,NACIONAL,2022-10,17801,149906,0.118747749
NACIONAL,NACIONAL,2022-11,15047,140594,0.107024482
NACIONAL,NACIONAL,2022-12,14797,130155,0.113687526
NACIONAL,NACIONAL,2023-01,16054,150120,0.106941114
NACIONAL,NACIONAL,2023-02,15308,137660,0.111201511
NACIONAL,NACIONAL,2023-03,18699,157979,0.118363833
NACIONAL,NACIONAL,2023-04,15821,144438,0.109534887
NACIONAL,NACIONAL,2023-05,19398,162004,0.119737784
DIRECCION,CENTRO,2022-01,4134,42751,0.096699492
DIRECCION,CENTRO,2022-02,3928,43052,0.091238502
DIRECCION,CENTRO,2022-03,4150,48095,0.086287556
DIRECCION,CENTRO,2022-04,4542,48362,0.093916711
DIRECCION,CENTRO,2022-05,4958,53044,0.093469572
DIRECCION,CENTRO,2022-06,5372,54013,0.099457538
DIRECCION,CENTRO,2022-07,5408,56265,0.096116591
DIRECCION,CENTRO,2022-08,5168,54818,0.094275603
DIRECCION,CENTRO,2022-09,4464,47109,0.094758963
DIRECCION,CENTRO,2022-10,4161,47459,0.087675678
DIRECCION,CENTRO,2022-11,3739,46122,0.081067603
DIRECCION,CENTRO,2022-12,3856,41994,0.091822641
DIRECCION,CENTRO,2023-01,4157,51014,0.081487435
DIRECCION,CENTRO,2023-02,4014,43459,0.092362917
DIRECCION,CENTRO,2023-03,4458,50865,0.087643763
DIRECCION,CENTRO,2023-04,3864,46659,0.082813605
DIRECCION,CENTRO,2023-05,5187,51640,0.100445391
DIRECCION,NORESTE-FRONTERA,2022-01,2057,14632,0.140582285
DIRECCION,NORESTE-FRONTERA,2022-02,1961,14415,0.136038848
DIRECCION,NORESTE-FRONTERA,2022-03,2008,15882,0.126432439
DIRECCION,NORESTE-FRONTERA,2022-04,2402,17101,0.140459622
DIRECCION,NORESTE-FRONTERA,2022-05,2439,18980,0.128503688
DIRECCION,NORESTE-FRONTERA,2022-06,2715,19459,0.139524128
DIRECCION,NORESTE-FRONTERA,2022-07,2686,19328,0.138969371
DIRECCION,NORESTE-FRONTERA,2022-08,3018,21942,0.137544435
DIRECCION,NORESTE-FRONTERA,2022-09,3139,21801,0.143984221
DIRECCION,NORESTE-FRONTERA,2022-10,2646,18378,0.143976494
DIRECCION,NORESTE-FRONTERA,2022-11,2388,17861,0.133699121
DIRECCION,NORESTE-FRONTERA,2022-12,2231,16576,0.134592181
DIRECCION,NORESTE-FRONTERA,2023-01,2353,17718,0.132802799
DIRECCION,NORESTE-FRONTERA,2023-02,2572,19292,0.133319511
DIRECCION,NORESTE-FRONTERA,2023-03,3572,22949,0.155649484
DIRECCION,NORESTE-FRONTERA,2023-04,3262,22341,0.146009579
DIRECCION,NORESTE-FRONTERA,2023-05,4556,26761,0.170247749
DIRECCION,NORTE-PACIFICO,2022-01,3467,20236,0.171328326
DIRECCION,NORTE-PACIFICO,2022-02,3283,20146,0.162960389
DIRECCION,NORTE-PACIFICO,2022-03,3438,23177,0.148336713
DIRECCION,NORTE-PACIFICO,2022-04,3438,22144,0.155256503
DIRECCION,NORTE-PACIFICO,2022-05,3125,21766,0.143572544
DIRECCION,NORTE-PACIFICO,2022-06,3774,26698,0.141358903
DIRECCION,NORTE-PACIFICO,2022-07,3838,26161,0.14670693
DIRECCION,NORTE-PACIFICO,2022-08,4282,27878,0.153597819
DIRECCION,NORTE-PACIFICO,2022-09,4034,25110,0.160653126
DIRECCION,NORTE-PACIFICO,2022-10,3808,24718,0.154057772
DIRECCION,NORTE-PACIFICO,2022-11,3219,22633,0.142225953
DIRECCION,NORTE-PACIFICO,2022-12,3395,21407,0.158592984
DIRECCION,NORTE-PACIFICO,2023-01,3792,23351,0.162391332
DIRECCION,NORTE-PACIFICO,2023-02,3670,22824,0.160795654
DIRECCION,NORTE-PACIFICO,2023-03,4711,26728,0.176257109
DIRECCION,NORTE-PACIFICO,2023-04,3486,21994,0.158497772
DIRECCION,NORTE-PACIFICO,2023-05,3455,23882,0.144669626
DIRECCION,OCCIDENTE-BAJIO,2022-01,4900,34188,0.143325143
DIRECCION,OCCIDENTE-BAJIO,2022-02,4346,33726,0.128862006
DIRECCION,OCCIDENTE-BAJIO,2022-03,4547,37281,0.121965613
DIRECCION,OCCIDENTE-BAJIO,2022-04,5091,37759,0.134828783
DIRECCION,OCCIDENTE-BAJIO,2022-05,5295,40815,0.129731716
DIRECCION,OCCIDENTE-BAJIO,2022-06,6785,45686,0.148513768
DIRECCION,OCCIDENTE-BAJIO,2022-07,7427,48551,0.152973162
DIRECCION,OCCIDENTE-BAJIO,2022-08,7712,48619,0.158621115
DIRECCION,OCCIDENTE-BAJIO,2022-09,6442,41630,0.154744175
DIRECCION,OCCIDENTE-BAJIO,2022-10,5899,40426,0.145920942
DIRECCION,OCCIDENTE-BAJIO,2022-11,4508,35824,0.125837427
DIRECCION,OCCIDENTE-BAJIO,2022-12,3972,32290,0.12301022
DIRECCION,OCCIDENTE-BAJIO,2023-01,4163,36523,0.11398297
DIRECCION,OCCIDENTE-BAJIO,2023-02,3578,32525,0.110007686
DIRECCION,OCCIDENTE-BAJIO,2023-03,4098,36310,0.112861471
DIRECCION,OCCIDENTE-BAJIO,2023-04,3600,33506,0.107443443
DIRECCION,OCCIDENTE-BAJIO,2023-05,4305,37482,0.11485513
DIRECCION,ORIENTE-SUR,2022-01,1204,15487,0.077742623
DIRECCION,ORIENTE-SUR,2022-02,1076,15058,0.071457033
DIRECCION,ORIENTE-SUR,2022-03,1335,17705,0.075402429
DIRECCION,ORIENTE-SUR,2022-04,1257,16933,0.074233745
DIRECCION,ORIENTE-SUR,2022-05,1263,17213,0.073374775
DIRECCION,ORIENTE-SUR,2022-06,1318,18304,0.072006119
DIRECCION,ORIENTE-SUR,2022-07,1247,18183,0.068580542
DIRECCION,ORIENTE-SUR,2022-08,1340,19385,0.069125613
DIRECCION,ORIENTE-SUR,2022-09,1417,18756,0.075549158
DIRECCION,ORIENTE-SUR,2022-10,1287,18900,0.068095238
DIRECCION,ORIENTE-SUR,2022-11,1192,18134,0.065732877
DIRECCION,ORIENTE-SUR,2022-12,1343,17866,0.075170715
DIRECCION,ORIENTE-SUR,2023-01,1589,21486,0.073955134
DIRECCION,ORIENTE-SUR,2023-02,1474,19534,0.075458175
DIRECCION,ORIENTE-SUR,2023-03,1860,21086,0.088210187
DIRECCION,ORIENTE-SUR,2023-04,1605,19901,0.080649214
DIRECCION,ORIENTE-SUR,2023-05,1891,22204,0.085164835
PLAZA,ACAPULCO,2022-01,31,268,0.115671642
PLAZA,ACAPULCO,2022-02,20,230,0.086956522
PLAZA,ACAPULCO,2022-03,28,274,0.102189781
PLAZA,ACAPULCO,2022-04,24,267,0.08988764
PLAZA,ACAPULCO,2022-05,17,305,0.055737705
PLAZA,ACAPULCO,2022-06,25,321,0.07788162
PLAZA,ACAPULCO,2022-07,15,292,0.051369863
PLAZA,ACAPULCO,2022-08,16,334,0.047904192
PLAZA,ACAPULCO,2022-09,25,371,0.067385445
PLAZA,ACAPULCO,2022-10,43,403,0.106699752
PLAZA,ACAPULCO,2022-11,25,398,0.06281407
PLAZA,ACAPULCO,2022-12,27,425,0.063529412
PLAZA,ACAPULCO,2023-01,34,476,0.071428571
PLAZA,ACAPULCO,2023-02,30,479,0.06263048
PLAZA,ACAPULCO,2023-03,43,562,0.076512456
PLAZA,ACAPULCO,2023-04,29,520,0.055769231
PLAZA,ACAPULCO,2023-05,68,577,0.117850953
PLAZA,AGUASCALIENTES,2022-01,82,1263,0.064924782
PLAZA,AGUASCALIENTES,2022-02,64,1392,0.045977011
PLAZA,AGUASCALIENTES,2022-03,87,1586,0.054854981
PLAZA,AGUASCALIENTES,2022-04,97,1606,0.060398506
PLAZA,AGUASCALIENTES,2022-05,112,1572,0.071246819
PLAZA,AGUASCALIENTES,2022-06,94,1580,0.059493671
PLAZA,AGUASCALIENTES,2022-07,161,1970,0.081725888
PLAZA,AGUASCALIENTES,2022-08,154,2105,0.073159145
PLAZA,AGUASCALIENTES,2022-09,131,1893,0.069202324
PLAZA,AGUASCALIENTES,2022-10,121,1813,0.06674021
PLAZA,AGUASCALIENTES,2022-11,132,1783,0.074032529
PLAZA,AGUASCALIENTES,2022-12,90,1470,0.06122449
PLAZA,AGUASCALIENTES,2023-01,88,1541,0.057105775
PLAZA,AGUASCALIENTES,2023-02,95,1531,0.062050947
PLAZA,AGUASCALIENTES,2023-03,88,1740,0.050574713
PLAZA,AGUASCALIENTES,2023-04,91,1325,0.068679245
PLAZA,AGUASCALIENTES,2023-05,85,1510,0.056291391
PLAZA,CANCUN,2022-01,223,2110,0.105687204
PLAZA,CANCUN,2022-02,206,2200,0.093636364
PLAZA,CANCUN,2022-03,255,2460,0.103658537
PLAZA,CANCUN,2022-04,299,2551,0.117208938
PLAZA,CANCUN,2022-05,272,2501,0.108756497
PLAZA,CANCUN,2022-06,335,2872,0.116643454
PLAZA,CANCUN,2022-07,290,2602,0.111452729
PLAZA,CANCUN,2022-08,300,2569,0.116776956
PLAZA,CANCUN,2022-09,280,2470,0.113360324
PLAZA,CANCUN,2022-10,268,2407,0.111341919
PLAZA,CANCUN,2022-11,271,2422,0.111890999
PLAZA,CANCUN,2022-12,306,2322,0.131782946
PLAZA,CANCUN,2023-01,332,2586,0.128383604
PLAZA,CANCUN,2023-02,322,2270,0.14185022
PLAZA,CANCUN,2023-03,349,2391,0.145964032
PLAZA,CANCUN,2023-04,300,2431,0.123406006
PLAZA,CANCUN,2023-05,361,2638,0.136846096
PLAZA,CELAYA,2022-01,47,724,0.064917127
PLAZA,CELAYA,2022-02,33,602,0.054817276
PLAZA,CELAYA,2022-03,41,626,0.065495208
PLAZA,CELAYA,2022-04,66,755,0.087417219
PLAZA,CELAYA,2022-05,72,819,0.087912088
PLAZA,CELAYA,2022-06,58,793,0.073139975
PLAZA,CELAYA,2022-07,72,819,0.087912088
PLAZA,CELAYA,2022-08,90,896,0.100446429
PLAZA,CELAYA,2022-09,79,783,0.100893997
PLAZA,CELAYA,2022-10,61,844,0.072274882
PLAZA,CELAYA,2022-11,47,678,0.069321534
PLAZA,CELAYA,2022-12,52,609,0.085385878
PLAZA,CELAYA,2023-01,64,679,0.094256259
PLAZA,CELAYA,2023-02,44,563,0.078152753
PLAZA,CELAYA,2023-03,53,630,0.084126984
PLAZA,CELAYA,2023-04,41,672,0.061011905
PLAZA,CELAYA,2023-05,87,818,0.106356968
PLAZA,CHIHUAHUA,2022-01,147,1587,0.092627599
PLAZA,CHIHUAHUA,2022-02,163,1930,0.084455959
PLAZA,CHIHUAHUA,2022-03,177,1960,0.090306122
PLAZA,CHIHUAHUA,2022-04,144,1852,0.07775378
PLAZA,CHIHUAHUA,2022-05,118,1842,0.064060803
PLAZA,CHIHUAHUA,2022-06,186,2245,0.08285078
PLAZA,CHIHUAHUA,2022-07,186,2195,0.084738041
PLAZA,CHIHUAHUA,2022-08,217,2544,0.085298742
PLAZA,CHIHUAHUA,2022-09,242,2226,0.108715184
PLAZA,CHIHUAHUA,2022-10,189,1969,0.095987811
PLAZA,CHIHUAHUA,2022-11,177,2062,0.085838991
PLAZA,CHIHUAHUA,2022-12,212,2014,0.105263158
PLAZA,CHIHUAHUA,2023-01,199,2100,0.094761905
PLAZA,CHIHUAHUA,2023-02,198,2109,0.093883357
PLAZA,CHIHUAHUA,2023-03,290,2406,0.120532003
PLAZA,CHIHUAHUA,2023-04,172,1745,0.098567335
PLAZA,CHIHUAHUA,2023-05,244,2282,0.106923751
PLAZA,CIUDAD DE MEXICO,2022-01,3449,36356,0.094867422
PLAZA,CIUDAD DE MEXICO,2022-02,3212,36528,0.087932545
PLAZA,CIUDAD DE MEXICO,2022-03,3450,40981,0.084185354
PLAZA,CIUDAD DE MEXICO,2022-04,3778,41344,0.091379644
PLAZA,CIUDAD DE MEXICO,2022-05,4113,45343,0.090708599
PLAZA,CIUDAD DE MEXICO,2022-06,4522,46344,0.097574659
PLAZA,CIUDAD DE MEXICO,2022-07,4537,47947,0.094625315
PLAZA,CIUDAD DE MEXICO,2022-08,4264,46115,0.092464491
PLAZA,CIUDAD DE MEXICO,2022-09,3624,39664,0.091367487
PLAZA,CIUDAD DE MEXICO,2022-10,3483,40495,0.086010619
PLAZA,CIUDAD DE MEXICO,2022-11,3131,39141,0.079992846
PLAZA,CIUDAD DE MEXICO,2022-12,3253,35725,0.091056683
PLAZA,CIUDAD DE MEXICO,2023-01,3455,43508,0.079410683
PLAZA,CIUDAD DE MEXICO,2023-02,3346,37497,0.089233805
PLAZA,CIUDAD DE MEXICO,2023-03,3850,43900,0.087699317
PLAZA,CIUDAD DE MEXICO,2023-04,3328,40467,0.08223985
PLAZA,CIUDAD DE MEXICO,2023-05,4312,44318,0.097296809
PLAZA,CIUDAD JUAREZ,2022-01,1542,6965,0.221392678
PLAZA,CIUDAD JUAREZ,2022-02,1510,6936,0.217704729
PLAZA,CIUDAD JUAREZ,2022-03,1469,8012,0.183349975
PLAZA,CIUDAD JUAREZ,2022-04,1408,7678,0.183381089
PLAZA,CIUDAD JUAREZ,2022-05,1186,7167,0.165480675
PLAZA,CIUDAD JUAREZ,2022-06,1630,10007,0.16288598
