DISTRITO,fecha_apertura,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter,% incump. sobre total agendado
ACAPULCO,16/08/2021,0,2,0,0,5
ACAPULCO,18/08/2021,1,1,0,0,4
ACAPULCO,20/08/2021,0,1,0,0,2
ACAPULCO,23/08/2021,0,1,0,0,2
ACAPULCO,24/08/2021,0,3,1,0,9
ACAPULCO,25/08/2021,0,4,0,0,9
ACAPULCO,26/08/2021,0,1,0,0,2
ACAPULCO,27/08/2021,0,9,1,0,21
ACAPULCO,28/08/2021,0,4,3,0,11
ACAPULCO,29/08/2021,0,4,1,0,7
ACAPULCO,30/08/2021,0,2,0,0,4
ACAPULCO,31/08/2021,1,1,0,0,4
ACAPULCO,01/09/2021,0,1,1,0,4
ACAPULCO,02/09/2021,1,4,4,0,16
ACAPULCO,03/09/2021,2,2,4,0,16
ACAPULCO,04/09/2021,1,5,2,0,11
ACAPULCO,05/09/2021,0,4,2,0,9
ACAPULCO,06/09/2021,1,1,5,0,10
ACAPULCO,07/09/2021,0,5,5,0,15
ACAPULCO,08/09/2021,0,7,5,1,17
ACAPULCO,09/09/2021,0,7,2,0,11
ACAPULCO,10/09/2021,0,3,3,0,9
ACAPULCO,11/09/2021,0,4,0,0,6
ACAPULCO,12/09/2021,0,1,1,0,3
ACAPULCO,13/09/2021,0,4,2,0,10
ACAPULCO,14/09/2021,0,2,2,0,7
ACAPULCO,15/09/2021,1,3,0,0,6
ACAPULCO,16/09/2021,2,2,2,0,14
ACAPULCO,17/09/2021,0,3,3,0,8
ACAPULCO,18/09/2021,1,3,2,0,11
ACAPULCO,20/09/2021,1,2,0,0,6
ACAPULCO,22/09/2021,0,1,0,0,2
ACAPULCO,23/09/2021,1,0,0,0,2
ACAPULCO,28/09/2021,0,2,0,0,4
ACAPULCO,29/09/2021,0,2,1,0,4
ACAPULCO,30/09/2021,0,1,0,0,2
ACAPULCO,01/10/2021,1,3,1,0,7
ACAPULCO,02/10/2021,0,2,0,0,4
ACAPULCO,04/10/2021,0,1,0,0,2
ACAPULCO,05/10/2021,0,1,0,0,1
ACAPULCO,06/10/2021,2,2,2,0,9
ACAPULCO,07/10/2021,1,4,1,0,11
ACAPULCO,09/10/2021,1,0,1,0,3
ACAPULCO,11/10/2021,0,2,1,0,4
ACAPULCO,12/10/2021,0,5,0,0,6
ACAPULCO,13/10/2021,0,2,0,0,4
ACAPULCO,14/10/2021,0,1,0,0,1
ACAPULCO,15/10/2021,0,1,0,0,1
ACAPULCO,16/10/2021,1,2,0,0,5
ACAPULCO,18/10/2021,0,1,1,0,3
ACAPULCO,20/10/2021,1,4,0,0,8
ACAPULCO,21/10/2021,0,3,0,0,6
ACAPULCO,22/10/2021,0,1,0,0,2
ACAPULCO,23/10/2021,0,1,0,0,2
ACAPULCO,25/10/2021,0,1,1,0,3
ACAPULCO,26/10/2021,0,0,0,1,2
ACAPULCO,28/10/2021,0,0,1,0,2
ACAPULCO,29/10/2021,1,1,0,0,3
ACAPULCO,30/10/2021,2,0,0,0,3
ACAPULCO,31/10/2021,0,0,1,0,2
ACAPULCO,01/11/2021,0,3,1,0,7
ACAPULCO,04/11/2021,1,2,0,0,5
ACAPULCO,05/11/2021,0,3,0,0,5
ACAPULCO,06/11/2021,0,2,1,0,5
ACAPULCO,07/11/2021,0,2,0,0,3
ACAPULCO,09/11/2021,0,2,0,0,3
ACAPULCO,10/11/2021,0,1,0,0,1
ACAPULCO,11/11/2021,1,1,0,0,NA
ACAPULCO,13/11/2021,1,3,0,0,6
ACAPULCO,14/11/2021,0,2,0,0,3
ACAPULCO,15/11/2021,1,1,0,0,4
ACAPULCO,16/11/2021,0,3,1,0,6
ACAPULCO,17/11/2021,1,2,2,0,7
ACAPULCO,18/11/2021,1,1,1,0,5
ACAPULCO,19/11/2021,0,0,2,0,3
ACAPULCO,20/11/2021,0,3,0,0,4
ACAPULCO,21/11/2021,0,1,0,0,1
ACAPULCO,22/11/2021,0,1,0,0,2
ACAPULCO,25/11/2021,0,2,2,0,9
ACAPULCO,26/11/2021,0,1,0,0,NA
ACAPULCO,27/11/2021,0,1,0,0,2
ACAPULCO,28/11/2021,0,1,0,0,2
ACAPULCO,30/11/2021,2,4,0,0,10
ACAPULCO,01/12/2021,0,0,2,0,NA
ACAPULCO,02/12/2021,1,1,0,0,4
ACAPULCO,03/12/2021,1,2,0,0,NA
ACAPULCO,04/12/2021,0,1,0,0,1
ACAPULCO,06/12/2021,0,3,0,0,NA
ACAPULCO,07/12/2021,0,1,1,0,3
ACAPULCO,08/12/2021,0,1,0,0,2
ACAPULCO,10/12/2021,0,1,0,0,2
ACAPULCO,11/12/2021,1,1,1,0,4
ACAPULCO,12/12/2021,0,1,0,0,2
ACAPULCO,14/12/2021,1,2,0,0,5
ACAPULCO,15/12/2021,0,3,0,0,5
ACAPULCO,16/12/2021,0,1,0,0,NA
ACAPULCO,17/12/2021,0,1,0,0,2
ACAPULCO,18/12/2021,2,2,0,0,8
ACAPULCO,20/12/2021,0,1,0,0,2
ACAPULCO,21/12/2021,0,2,0,0,NA
ACAPULCO,22/12/2021,2,2,0,0,7
ACAPULCO,23/12/2021,0,6,2,0,14
ACAPULCO,28/12/2021,1,0,0,0,2
ACAPULCO,29/12/2021,0,3,0,0,5
ACAPULCO,30/12/2021,0,1,0,0,2
ACAPULCO,31/12/2021,0,1,0,0,2
ACAPULCO,01/01/2022,0,1,0,0,7
ACAPULCO,03/01/2022,0,2,0,0,4
ACAPULCO,04/01/2022,0,2,0,0,NA
ACAPULCO,05/01/2022,0,1,1,0,4
ACAPULCO,07/01/2022,0,1,0,0,2
ACAPULCO,10/01/2022,0,0,1,0,NA
ACAPULCO,11/01/2022,0,1,0,0,2
ACAPULCO,12/01/2022,0,3,0,0,6
ACAPULCO,13/01/2022,1,1,0,0,4
ACAPULCO,14/01/2022,1,2,0,0,5
ACAPULCO,15/01/2022,0,2,0,0,3
ACAPULCO,17/01/2022,0,1,0,0,2
ACAPULCO,18/01/2022,0,2,0,0,3
ACAPULCO,19/01/2022,0,1,1,0,4
ACAPULCO,20/01/2022,0,1,0,1,4
ACAPULCO,21/01/2022,0,2,0,0,3
ACAPULCO,22/01/2022,0,1,0,0,2
ACAPULCO,25/01/2022,0,2,0,0,5
ACAPULCO,26/01/2022,0,1,0,0,2
ACAPULCO,29/01/2022,0,1,0,0,3
ACAPULCO,30/01/2022,0,0,1,0,2
ACAPULCO,01/02/2022,0,1,0,0,2
ACAPULCO,04/02/2022,0,1,0,0,2
ACAPULCO,05/02/2022,0,1,0,0,2
ACAPULCO,06/02/2022,1,2,0,0,4
ACAPULCO,10/02/2022,0,1,0,0,2
ACAPULCO,11/02/2022,0,1,0,0,2
ACAPULCO,13/02/2022,0,1,0,0,2
ACAPULCO,15/02/2022,1,0,0,0,2
ACAPULCO,16/02/2022,0,3,0,0,5
ACAPULCO,17/02/2022,0,1,1,0,4
ACAPULCO,18/02/2022,0,2,0,0,4
ACAPULCO,21/02/2022,0,1,0,0,2
ACAPULCO,22/02/2022,1,0,0,0,2
ACAPULCO,24/02/2022,0,0,1,0,2
ACAPULCO,26/02/2022,0,1,0,0,2
ACAPULCO,27/02/2022,0,1,0,0,2
ACAPULCO,02/03/2022,1,0,1,0,5
ACAPULCO,03/03/2022,0,2,0,0,4
ACAPULCO,04/03/2022,1,0,0,0,2
ACAPULCO,05/03/2022,0,1,0,0,2
ACAPULCO,08/03/2022,0,1,0,0,3
ACAPULCO,09/03/2022,1,0,0,0,2
ACAPULCO,11/03/2022,0,1,0,0,2
ACAPULCO,12/03/2022,0,1,0,0,2
ACAPULCO,13/03/2022,0,1,0,0,3
ACAPULCO,15/03/2022,0,1,0,0,2
ACAPULCO,16/03/2022,0,2,1,0,7
ACAPULCO,17/03/2022,1,1,0,0,5
ACAPULCO,20/03/2022,0,2,0,0,5
ACAPULCO,24/03/2022,0,2,0,0,NA
ACAPULCO,26/03/2022,1,2,0,0,7
ACAPULCO,27/03/2022,0,1,0,0,3
ACAPULCO,29/03/2022,0,1,0,0,NA
ACAPULCO,30/03/2022,0,3,0,0,6
ACAPULCO,31/03/2022,0,1,0,0,2
ACAPULCO,01/04/2022,0,1,0,0,2
ACAPULCO,03/04/2022,0,1,0,0,4
ACAPULCO,04/04/2022,0,1,0,0,2
ACAPULCO,06/04/2022,0,1,0,0,2
ACAPULCO,07/04/2022,0,1,0,0,NA
AEROPUERTO,16/08/2021,2,7,5,0,8
AEROPUERTO,17/08/2021,2,14,5,0,12
AEROPUERTO,18/08/2021,1,25,7,0,17
AEROPUERTO,19/08/2021,3,30,10,1,23
AEROPUERTO,20/08/2021,5,20,6,0,15
AEROPUERTO,21/08/2021,2,9,8,0,10
AEROPUERTO,22/08/2021,3,20,6,0,18
AEROPUERTO,23/08/2021,3,14,8,0,13
AEROPUERTO,24/08/2021,4,16,11,0,17
AEROPUERTO,25/08/2021,6,24,11,2,20
AEROPUERTO,26/08/2021,4,21,3,0,14
AEROPUERTO,27/08/2021,1,13,5,0,9
AEROPUERTO,28/08/2021,6,21,8,0,20
AEROPUERTO,29/08/2021,3,10,3,1,11
AEROPUERTO,30/08/2021,1,25,13,0,20
AEROPUERTO,31/08/2021,2,20,3,1,15
AEROPUERTO,01/09/2021,3,26,14,0,20
AEROPUERTO,02/09/2021,4,21,13,0,21
AEROPUERTO,03/09/2021,2,23,16,0,22
AEROPUERTO,04/09/2021,2,21,10,0,21
AEROPUERTO,05/09/2021,1,13,3,0,13
AEROPUERTO,06/09/2021,6,28,14,0,24
AEROPUERTO,07/09/2021,3,27,12,0,19
