DISTRITO,Fecha_Descarga,CDD,Addon,Soportes,Instalaciones,Recolecciones
ACAPULCO,2021-08-16,NA,4,1,20,4
ACAPULCO,2021-08-17,1,2,4,25,3
ACAPULCO,2021-08-18,1,5,NA,20,3
ACAPULCO,2021-08-19,1,5,4,23,2
ACAPULCO,2021-08-20,2,3,1,24,2
ACAPULCO,2021-08-21,2,6,NA,25,3
ACAPULCO,2021-08-22,2,4,2,27,1
ACAPULCO,2021-08-23,1,4,5,27,2
ACAPULCO,2021-08-24,2,5,1,30,1
ACAPULCO,2021-08-25,4,3,2,38,1
ACAPULCO,2021-08-26,4,6,1,38,7
ACAPULCO,2021-08-27,5,9,8,33,6
ACAPULCO,2021-08-28,7,15,7,53,8
ACAPULCO,2021-08-30,2,14,5,30,3
ACAPULCO,2021-08-31,3,9,4,30,3
ACAPULCO,2021-09-01,3,9,5,40,4
ACAPULCO,2021-09-02,4,13,3,51,3
ACAPULCO,2021-09-03,4,16,5,58,5
ACAPULCO,2021-09-04,5,18,5,66,3
ACAPULCO,2021-09-05,6,17,3,63,4
ACAPULCO,2021-09-06,6,19,4,41,4
ACAPULCO,2021-09-07,8,21,3,44,8
ACAPULCO,2021-09-08,10,25,19,35,9
ACAPULCO,2021-09-09,13,26,12,49,10
ACAPULCO,2021-09-10,17,25,6,51,9
ACAPULCO,2021-09-11,8,22,8,51,6
ACAPULCO,2021-09-12,8,18,5,65,7
ACAPULCO,2021-09-13,10,18,8,55,5
ACAPULCO,2021-09-14,9,14,2,52,4
ACAPULCO,2021-09-15,12,16,3,41,8
ACAPULCO,2021-09-16,14,20,1,36,6
ACAPULCO,2021-09-17,15,22,3,40,7
ACAPULCO,2021-09-18,12,12,2,36,5
ACAPULCO,2021-09-19,9,9,6,27,7
ACAPULCO,2021-09-20,4,4,2,31,4
ACAPULCO,2021-09-21,4,2,5,43,3
ACAPULCO,2021-09-22,4,2,1,34,5
ACAPULCO,2021-09-23,6,4,2,37,9
ACAPULCO,2021-09-24,1,2,2,45,6
ACAPULCO,2021-09-25,1,4,4,34,5
ACAPULCO,2021-09-26,2,4,1,27,7
ACAPULCO,2021-09-27,3,4,3,21,5
ACAPULCO,2021-09-28,6,4,2,25,2
ACAPULCO,2021-09-29,6,7,1,21,1
ACAPULCO,2021-09-30,8,2,3,21,1
ACAPULCO,2021-10-01,7,4,2,42,NA
ACAPULCO,2021-10-02,9,5,4,31,NA
ACAPULCO,2021-10-03,6,8,2,39,2
ACAPULCO,2021-10-04,7,6,2,29,4
ACAPULCO,2021-10-05,10,7,5,26,6
ACAPULCO,2021-10-06,8,9,8,30,11
ACAPULCO,2021-10-07,6,8,5,50,10
ACAPULCO,2021-10-08,6,7,2,52,9
ACAPULCO,2021-10-09,2,3,2,45,7
ACAPULCO,2021-10-10,3,3,2,51,7
ACAPULCO,2021-10-11,2,6,5,37,4
ACAPULCO,2021-10-12,4,5,9,46,8
ACAPULCO,2021-10-13,6,6,3,49,12
ACAPULCO,2021-10-14,5,9,5,42,11
ACAPULCO,2021-10-15,5,8,6,42,20
ACAPULCO,2021-10-16,9,6,5,34,20
ACAPULCO,2021-10-17,9,3,3,30,18
ACAPULCO,2021-10-18,6,3,6,22,15
ACAPULCO,2021-10-19,7,7,6,26,12
ACAPULCO,2021-10-20,9,7,4,33,14
ACAPULCO,2021-10-21,7,7,1,39,13
ACAPULCO,2021-10-22,2,7,2,29,16
ACAPULCO,2021-10-23,3,4,2,31,19
ACAPULCO,2021-10-24,3,1,4,21,15
ACAPULCO,2021-10-25,3,3,19,26,13
ACAPULCO,2021-10-26,3,2,5,29,13
ACAPULCO,2021-10-27,5,4,5,20,14
ACAPULCO,2021-10-28,9,5,2,36,15
ACAPULCO,2021-10-29,8,3,2,36,13
ACAPULCO,2021-10-30,6,2,4,34,10
ACAPULCO,2021-10-31,4,4,2,27,10
ACAPULCO,2021-11-01,2,2,1,23,11
ACAPULCO,2021-11-02,NA,3,5,28,12
ACAPULCO,2021-11-03,1,6,NA,27,13
ACAPULCO,2021-11-04,2,5,3,23,9
ACAPULCO,2021-11-05,5,6,1,23,8
ACAPULCO,2021-11-06,4,7,8,27,13
ACAPULCO,2021-11-07,4,5,8,24,12
ACAPULCO,2021-11-08,3,7,6,22,9
ACAPULCO,2021-11-09,2,6,5,39,11
ACAPULCO,2021-11-10,2,8,3,34,11
ACAPULCO,2021-11-11,7,10,4,36,13
ACAPULCO,2021-11-12,8,9,3,31,14
ACAPULCO,2021-11-13,7,9,4,45,8
ACAPULCO,2021-11-14,9,11,6,41,8
ACAPULCO,2021-11-15,7,5,1,28,7
ACAPULCO,2021-11-16,6,5,2,38,6
ACAPULCO,2021-11-17,7,7,6,33,9
ACAPULCO,2021-11-18,6,12,5,36,15
ACAPULCO,2021-11-19,7,13,5,44,19
ACAPULCO,2021-11-20,5,11,5,49,18
ACAPULCO,2021-11-21,6,12,3,23,21
ACAPULCO,2021-11-22,4,3,2,25,9
ACAPULCO,2021-11-23,3,3,5,29,7
ACAPULCO,2021-11-24,3,4,3,16,6
ACAPULCO,2021-11-25,4,1,3,23,9
ACAPULCO,2021-11-26,3,8,6,31,11
ACAPULCO,2021-11-27,2,6,1,30,10
ACAPULCO,2021-11-28,2,3,1,38,7
ACAPULCO,2021-11-29,1,2,1,39,6
ACAPULCO,2021-11-30,1,4,4,37,4
ACAPULCO,2021-12-01,2,6,4,30,8
ACAPULCO,2021-12-02,3,6,3,23,9
ACAPULCO,2021-12-03,3,5,3,30,15
ACAPULCO,2021-12-04,5,3,8,29,12
ACAPULCO,2021-12-05,1,2,2,17,14
ACAPULCO,2021-12-06,2,1,1,20,3
ACAPULCO,2021-12-07,2,6,6,24,4
ACAPULCO,2021-12-08,3,9,1,21,7
ACAPULCO,2021-12-09,4,5,1,19,4
ACAPULCO,2021-12-10,4,5,3,31,3
ACAPULCO,2021-12-11,3,6,2,29,6
ACAPULCO,2021-12-12,5,5,5,34,5
ACAPULCO,2021-12-13,3,1,8,24,6
ACAPULCO,2021-12-14,3,2,1,26,7
ACAPULCO,2021-12-15,4,2,5,26,8
ACAPULCO,2021-12-16,2,1,5,24,4
ACAPULCO,2021-12-17,2,2,4,31,3
ACAPULCO,2021-12-18,6,4,3,37,2
ACAPULCO,2021-12-19,8,5,1,21,4
ACAPULCO,2021-12-20,4,4,NA,21,3
ACAPULCO,2021-12-21,7,7,4,16,2
ACAPULCO,2021-12-22,10,10,2,32,1
ACAPULCO,2021-12-23,6,8,4,33,2
ACAPULCO,2021-12-24,5,6,7,30,3
ACAPULCO,2021-12-25,4,1,4,22,4
ACAPULCO,2021-12-26,6,3,1,14,5
ACAPULCO,2021-12-27,1,3,2,24,2
ACAPULCO,2021-12-28,1,1,2,25,4
ACAPULCO,2021-12-29,2,4,1,33,4
ACAPULCO,2021-12-30,3,7,2,25,5
ACAPULCO,2021-12-31,2,6,5,26,2
ACAPULCO,2022-01-01,3,1,4,14,NA
ACAPULCO,2022-01-02,4,NA,1,14,2
ACAPULCO,2022-01-03,NA,3,2,17,1
ACAPULCO,2022-01-04,2,2,2,24,2
ACAPULCO,2022-01-05,3,3,2,25,3
ACAPULCO,2022-01-06,4,3,2,16,3
ACAPULCO,2022-01-07,6,4,2,21,3
ACAPULCO,2022-01-08,4,4,6,17,3
ACAPULCO,2022-01-09,1,3,6,22,4
ACAPULCO,2022-01-10,1,2,2,23,NA
ACAPULCO,2022-01-11,2,6,2,28,1
ACAPULCO,2022-01-12,1,4,NA,20,2
ACAPULCO,2022-01-13,4,3,3,21,8
ACAPULCO,2022-01-14,3,6,2,27,5
ACAPULCO,2022-01-15,4,7,7,31,8
ACAPULCO,2022-01-16,6,7,5,28,9
ACAPULCO,2022-01-17,4,4,2,27,7
ACAPULCO,2022-01-18,1,10,5,25,7
ACAPULCO,2022-01-19,1,13,3,24,5
ACAPULCO,2022-01-20,2,14,1,26,10
ACAPULCO,2022-01-21,3,6,8,25,7
ACAPULCO,2022-01-22,1,5,5,28,6
ACAPULCO,2022-01-23,1,3,4,21,10
ACAPULCO,2022-01-24,NA,3,7,25,6
ACAPULCO,2022-01-25,2,5,3,20,6
ACAPULCO,2022-01-26,5,4,4,21,3
ACAPULCO,2022-01-27,5,7,2,12,2
