DESPACHO CENTRALIZADO,DIRECCION,FechaF,Asignaciones_totales,Asignaciones_automaticas,Asignaciones_manuales,PorcAA
SI,CENTRO 1,2023-08-01,4469,2385,2084,0.53368
SI,CENTRO 1,2023-08-02,4550,2298,2252,0.50505
SI,CENTRO 1,2023-08-03,4758,2494,2264,0.52417
SI,CENTRO 1,2023-08-04,4682,3362,1320,0.71807
SI,CENTRO 1,2023-08-05,4551,2886,1665,0.63415
SI,CENTRO 1,2023-08-06,4296,2521,1775,0.58682
SI,CENTRO 1,2023-08-07,4851,2858,1993,0.58916
SI,CENTRO 1,2023-08-08,5928,4961,967,0.83688
SI,CENTRO 1,2023-08-09,6170,4970,1200,0.80551
SI,CENTRO 1,2023-08-10,5775,4789,986,0.82926
SI,CENTRO 1,2023-08-11,5979,4605,1374,0.7702
SI,CENTRO 1,2023-08-12,5824,4449,1375,0.76391
SI,CENTRO 1,2023-08-13,5370,3894,1476,0.72514
SI,CENTRO 1,2023-08-14,5543,4155,1388,0.74959
SI,CENTRO 1,2023-08-15,6011,4461,1550,0.74214
SI,CENTRO 1,2023-08-16,5826,4510,1316,0.77412
SI,CENTRO 1,2023-08-17,5941,4547,1394,0.76536
SI,CENTRO 1,2023-08-18,5046,3703,1343,0.73385
SI,CENTRO 1,2023-08-19,5000,3439,1561,0.6878
SI,CENTRO 1,2023-08-20,4901,3441,1460,0.7021
SI,CENTRO 1,2023-08-21,5233,3375,1858,0.64495
SI,CENTRO 1,2023-08-22,7123,5585,1538,0.78408
SI,CENTRO 1,2023-08-23,7316,5967,1349,0.81561
SI,CENTRO 1,2023-08-24,7248,6007,1241,0.82878
SI,CENTRO 1,2023-08-25,7193,5878,1315,0.81718
SI,CENTRO 1,2023-08-26,6803,5416,1387,0.79612
SI,CENTRO 1,2023-08-27,6429,5161,1268,0.80277
SI,CENTRO 1,2023-08-28,6788,5380,1408,0.79258
SI,CENTRO 1,2023-08-29,7210,5773,1437,0.80069
SI,CENTRO 1,2023-08-30,6926,5454,1472,0.78747
SI,CENTRO 1,2023-08-31,7066,5803,1263,0.82126
SI,CENTRO 1,2023-09-01,6033,5498,535,0.91132
SI,CENTRO 1,2023-09-02,6483,6121,362,0.94416
SI,CENTRO 1,2023-09-03,5801,5260,541,0.90674
SI,CENTRO 1,2023-09-04,6421,5796,625,0.90266
SI,CENTRO 1,2023-09-05,6297,5613,684,0.89138
SI,CENTRO 1,2023-09-06,6535,5944,591,0.90956
SI,CENTRO 1,2023-09-07,6796,6171,625,0.90803
SI,CENTRO 1,2023-09-08,6736,5976,760,0.88717
SI,CENTRO 1,2023-09-09,6589,5863,726,0.88982
SI,CENTRO 1,2023-09-10,5761,5148,613,0.89359
SI,CENTRO 1,2023-09-11,6273,5481,792,0.87374
SI,CENTRO 1,2023-09-12,6639,5811,828,0.87528
SI,CENTRO 1,2023-09-13,6693,5928,765,0.8857
SI,CENTRO 1,2023-09-14,6603,5826,777,0.88233
SI,CENTRO 1,2023-09-15,5927,5106,821,0.86148
SI,CENTRO 1,2023-09-16,4189,3780,409,0.90236
SI,CENTRO 1,2023-09-17,5512,4833,679,0.87681
SI,CENTRO 1,2023-09-18,6337,5599,738,0.88354
SI,CENTRO 1,2023-09-19,6743,5674,1069,0.84147
SI,CENTRO 1,2023-09-20,6786,5716,1070,0.84232
SI,CENTRO 1,2023-09-21,6522,5564,958,0.85311
SI,CENTRO 1,2023-09-22,6406,5551,855,0.86653
SI,CENTRO 1,2023-09-23,6352,5337,1015,0.84021
SI,CENTRO 1,2023-09-24,5919,5074,845,0.85724
SI,CENTRO 1,2023-09-25,6248,5310,938,0.84987
SI,CENTRO 1,2023-09-26,6400,5449,951,0.85141
SI,CENTRO 1,2023-09-27,6438,5528,910,0.85865
SI,CENTRO 1,2023-09-28,6388,5478,910,0.85755
SI,CENTRO 1,2023-09-29,6327,5353,974,0.84606
SI,CENTRO 1,2023-09-30,6052,4856,1196,0.80238
SI,CENTRO 1,2023-10-01,5368,4774,594,0.88934
SI,CENTRO 1,2023-10-02,6122,5222,900,0.85299
SI,CENTRO 1,2023-10-03,6045,4983,1062,0.82432
SI,CENTRO 1,2023-10-04,6297,5410,887,0.85914
SI,CENTRO 1,2023-10-05,6198,5371,827,0.86657
SI,CENTRO 1,2023-10-06,5765,4989,776,0.86539
SI,CENTRO 1,2023-10-07,4995,4409,586,0.88268
SI,CENTRO 1,2023-10-08,4828,4313,515,0.89333
SI,CENTRO 1,2023-10-09,5118,4656,462,0.90973
SI,CENTRO 1,2023-10-10,4711,4626,85,0.98196
SI,CENTRO 1,2023-10-11,5498,5389,109,0.98017
SI,CENTRO 1,2023-10-12,6019,5899,120,0.98006
SI,CENTRO 1,2023-10-13,5500,5391,109,0.98018
SI,CENTRO 1,2023-10-14,5586,5508,78,0.98604
SI,CENTRO 1,2023-10-15,4823,4769,54,0.9888
SI,CENTRO 1,2023-10-16,5485,5386,99,0.98195
SI,CENTRO 1,2023-10-17,5748,5674,74,0.98713
SI,CENTRO 1,2023-10-18,5744,5690,54,0.9906
SI,CENTRO 1,2023-10-19,5536,5480,56,0.98988
SI,CENTRO 1,2023-10-20,5625,5553,72,0.9872
SI,CENTRO 1,2023-10-21,5519,5485,34,0.99384
SI,CENTRO 1,2023-10-22,5280,5242,38,0.9928
SI,CENTRO 1,2023-10-23,5846,5773,73,0.98751
SI,CENTRO 1,2023-10-24,5701,5629,72,0.98737
SI,CENTRO 1,2023-10-25,5759,5698,61,0.98941
SI,CENTRO 1,2023-10-26,5737,5641,96,0.98327
SI,CENTRO 1,2023-10-27,5744,5659,85,0.9852
SI,CENTRO 1,2023-10-28,5601,5556,45,0.99197
SI,CENTRO 1,2023-10-29,5103,5046,57,0.98883
SI,CENTRO 1,2023-10-30,5701,5616,85,0.98509
SI,CENTRO 1,2023-10-31,5999,5949,50,0.99167
SI,CENTRO 1,2023-11-01,5171,5113,58,0.98878
SI,CENTRO 1,2023-11-02,5084,5020,64,0.98741
SI,CENTRO 1,2023-11-03,5642,5523,119,0.97891
SI,CENTRO 1,2023-11-04,5447,5348,99,0.98182
SI,CENTRO 1,2023-11-05,5096,5035,61,0.98803
SI,CENTRO 1,2023-11-06,5545,5460,85,0.98467
SI,CENTRO 1,2023-11-07,5962,5867,95,0.98407
SI,CENTRO 1,2023-11-08,6229,6144,85,0.98635
SI,CENTRO 1,2023-11-09,5989,5908,81,0.98648
SI,CENTRO 1,2023-11-10,6118,6053,65,0.98938
SI,CENTRO 1,2023-11-11,5728,5660,68,0.98813
SI,CENTRO 1,2023-11-12,5344,5234,110,0.97942
SI,CENTRO 1,2023-11-13,5570,5485,85,0.98474
SI,CENTRO 1,2023-11-14,5737,5648,89,0.98449
SI,CENTRO 1,2023-11-15,5692,5600,92,0.98384
SI,CENTRO 1,2023-11-16,6408,6278,130,0.97971
SI,CENTRO 1,2023-11-17,6908,6811,97,0.98596
SI,CENTRO 1,2023-11-18,6983,6900,83,0.98811
SI,CENTRO 1,2023-11-19,6874,6776,98,0.98574
SI,CENTRO 1,2023-11-20,5701,5639,62,0.98912
SI,CENTRO 1,2023-11-21,6349,6250,99,0.98441
SI,CENTRO 1,2023-11-22,6702,6613,89,0.98672
SI,CENTRO 1,2023-11-23,6607,6529,78,0.98819
SI,CENTRO 1,2023-11-24,6641,6526,115,0.98268
SI,CENTRO 1,2023-11-25,6495,6423,72,0.98891
SI,CENTRO 1,2023-11-26,5737,5639,98,0.98292
SI,CENTRO 1,2023-11-27,6350,6274,76,0.98803
SI,CENTRO 1,2023-11-28,6675,6584,91,0.98637
SI,CENTRO 1,2023-11-29,6768,6491,277,0.95907
